Energy (cm-1)	Wavelength (nm)	Oscillator strength
43867.7354709	227.957971677	140762080.412
43807.6152305	228.270814273	145501928.156
43747.49499	228.58451672	150069744.851
43687.3747495	228.899082569	154439692.905
43627.254509	229.214515388	158586483.793
43567.1342685	229.530818767	162485619.967
43507.0140281	229.847996315	166113634.665
43446.8937876	230.166051661	169448326.344
43386.7735471	230.484988453	172468984.471
43326.6533066	230.804810361	175156603.479
43266.5330661	231.125521075	177494081.786
43206.4128257	231.447124304	179466402.975
43146.2925852	231.769623781	181060796.441
43086.1723447	232.093023256	182266875.109
43026.0521042	232.417326502	183076748.139
42965.9318637	232.742537313	183485106.912
42905.8116232	233.068659505	183489282.981
42845.6913828	233.395696913	183089277.109
42785.5711423	233.723653396	182287758.942
42725.4509018	234.052532833	181090037.337
42665.3306613	234.382339126	179504001.805
42605.2104208	234.713076199	177540035.958
42545.0901804	235.044747998	175210904.317
42484.9699399	235.377358491	172531614.173
42424.8496994	235.710911667	169519254.623
42364.7294589	236.045411542	166192815.169
42304.6092184	236.380862151	162572986.595
42244.488978	236.717267552	158681947.016
42184.3687375	237.054631829	154543136.213
42124.248497	237.392959087	150181021.43
42064.1282565	237.732253454	145620857.915
42004.008016	238.072519084	140888447.448
41943.8877756	238.413760153	136009898.049
41883.7675351	238.755980861	131011387.974
41823.6472946	239.099185434	125918936.892
41763.5270541	239.443378119	120758186.979
41703.4068136	239.788563191	115554196.393
41643.2865731	240.134744947	110331247.315
41583.1663327	240.481927711	105112670.433
41523.0460922	240.83011583	99920687.4313
41462.9258517	241.179313678	94776272.6917
41402.8056112	241.529525653	89699035.0789
41342.6853707	241.88075618	84707120.3317
41282.5651303	242.233009709	79817134.2534
41222.4448898	242.586290715	75044086.5677
41162.3246493	242.9406037	70401355.0071
41102.2044088	243.295953194	65900668.9224
41042.0841683	243.65234375	61552111.4539
40981.9639279	244.009779951	57364139.0842
40921.8436874	244.368266405	53343617.2104
40861.7234469	244.727807749	49495870.2241
40801.6032064	245.088408644	45824744.4709
40741.4829659	245.450073783	42332682.386
40681.3627255	245.812807882	39020806.0566
40621.242485	246.176615688	35889008.4502
40561.1222445	246.541501976	32936050.5675
40501.002004	246.907471549	30159662.8267
40440.8817635	247.274529237	27556649.0563
40380.761523	247.642679901	25122991.5689
40320.6412826	248.011928429	22853955.8984
40260.5210421	248.382279741	20744193.9096
40200.4008016	248.753738784	18787844.1272
40140.2805611	249.126310534	16978628.2734
40080.1603206	249.5	15309943.1515
40020.0400802	249.874812218	13774947.1628
39959.9198397	250.250752257	12366640.8898
39899.7995992	250.627825213	11077941.3199
39839.6793587	251.006036217	9901749.42025
39779.5591182	251.385390428	8831010.90035
39719.4388778	251.765893037	7858770.1134
39659.3186373	252.147549267	6978217.155
39599.1983968	252.530364372	6182728.30819
39539.0781563	252.914343639	5465900.06522
39478.9579158	253.299492386	4821577.02331
39418.8376754	253.685815963	4243874.00724
39358.7174349	254.073319756	3727192.81417
39298.5971944	254.462009179	3266234.00754
39238.4769539	254.851889683	2856004.20786
39178.3567134	255.242966752	2491819.33856
39118.2364729	255.635245902	2169304.28745
39058.1162325	256.028732683	1884389.43827
38997.995992	256.423432682	1633304.51422
38937.8757515	256.819351518	1412570.15721
38877.755511	257.216494845	1218987.64377
38817.6352705	257.614868353	1049627.1121
38757.5150301	258.014477766	901814.64581
38697.3947896	258.415328845	773118.529314
38637.2745491	258.817427386	661334.957877
38577.1543086	259.220779221	564473.453891
38517.0340681	259.625390219	480742.209162
38456.9138277	260.031266285	408533.542627
38396.7935872	260.438413361	346409.633643
38336.6733467	260.846837428	293088.663512
38276.5531062	261.256544503	247431.472281
38216.4328657	261.66754064	208428.814411
38156.3126253	262.079831933	175189.275628
38096.1923848	262.493424513	146927.894291
38036.0721443	262.908324552	122955.513856
37975.9519038	263.324538259	102668.878527
37915.8316633	263.742071882	85541.4717494
37855.7114228	264.16093171	71115.0868105
37795.5911824	264.581124072	58992.1103083
37735.4709419	265.002655337	48828.4924012
37675.3507014	265.425531915	40327.37252
37615.2304609	265.849760256	33233.3253399
37555.1102204	266.275346852	27327.1891692
37494.98998	266.702298236	22421.4373209
37434.8697395	267.130620985	18356.0523525
37374.749499	267.560321716	14994.8631395
37314.6292585	267.991407089	12222.305446
37254.509018	268.423883808	9940.56786093
37194.3887776	268.857758621	8067.08655383
37134.2685371	269.293038316	6532.35418716
37074.1482966	269.72972973	5278.01039865
37014.0280561	270.16783974	4255.18347898
36953.9078156	270.607375271	3423.05514165
36893.7875752	271.048343292	2747.62256732
36833.6673347	271.490750816	2200.63415863
36773.5470942	271.934604905	1758.67763066
36713.4268537	272.379912664	1402.40115966
36653.3066132	272.826681247	1115.85030037
36593.1863727	273.274917853	885.90524548
36533.0661323	273.724629731	701.804733086
36472.9458918	274.175824176	554.744503459
36412.8256513	274.628508531	437.539666327
36352.7054108	275.082690187	344.341665155
36292.5851703	275.538376588	270.401720745
36232.4649299	275.995575221	211.8737086
36172.3446894	276.454293629	165.650380131
36112.2244489	276.914539401	129.227684919
36052.1042084	277.376320178	100.592698199
35991.9839679	277.839643653	78.1313129906
35931.8637275	278.304517568	60.552428413
35871.743487	278.770949721	46.8258627786
35811.6232465	279.238947957	36.1316500454
35751.503006	279.708520179	27.8187484928
35691.3827655	280.17967434	21.3715080034
35631.2625251	280.652418448	16.3825134723
35571.1422846	281.126760563	12.5306524691
35511.0220441	281.602708804	9.56345062132
35450.9018036	282.08027134	7.28288302176
35390.7815631	282.559456399	5.53400853348
35330.6613226	283.040272263	4.19588991158
35270.5410822	283.522727273	3.1743594998
35210.4208417	284.006829824	2.39627077323
35150.3006012	284.492588369	1.8049427046
35090.1803607	284.980011422	1.35655900601
35030.0601202	285.469107551	1.01732961228
34969.9398798	285.959885387	0.761258930273
34909.8196393	286.452353617	0.568395746608
34849.6993988	286.946520989	0.423464423391
34789.5791583	287.442396313	0.314797095721
34729.4589178	287.939988459	0.233502839234
34669.3386774	288.439306358	0.172822888456
34609.2184369	288.940359004	0.127631531564
34549.0981964	289.443155452	0.0940507604368
34488.9779559	289.947704823	0.0691535105471
34428.8577154	290.454016298	0.0507357075913
34368.7374749	290.962099125	0.0371416129362
34308.6172345	291.471962617	0.0271303454542
34248.496994	291.98361615	0.0197741302417
34188.3767535	292.497069168	0.0143809287734
34128.256513	293.01233118	0.010435756416
34068.1362725	293.529411765	0.00755628550774
34008.0160321	294.048320566	0.00545934053074
33947.8957916	294.569067296	0.00393567639888
33887.7755511	295.091661739	0.00283103946583
33827.6553106	295.616113744	0.00203198163474
33767.5350701	296.142433234	0.00145526108518
33707.4148297	296.670630202	0.00103994244734
33647.2945892	297.200714711	0.00074152348988
33587.1743487	297.732696897	0.000527579250538
33527.0541082	298.26658697	0.00037453952162
33466.9338677	298.80239521	0.000265310667707
33406.8136273	299.340131974	0.00018752486183
33346.6933868	299.879807692	0.000132254372511
33286.5731463	300.421432872	9.30696821107e-005
33226.4529058	300.965018094	6.53511733283e-005
33166.3326653	301.510574018	4.57873466007e-005
33106.2124248	302.05811138	3.20099099469e-005
33046.0921844	302.607640995	2.23290515115e-005
32985.9719439	303.159173755	1.55418568606e-005
32925.8517034	303.712720633	1.07939971148e-005
32865.7314629	304.268292683	7.48011734464e-006
32805.6112224	304.825901038	5.17227015711e-006
32745.490982	305.385556916	3.56862260884e-006
32685.3707415	305.947271613	2.4567820537e-006
32625.250501	306.511056511	1.68763755018e-006
32565.1302605	307.076923077	1.15674657582e-006
32505.01002	307.644882861	7.91122454822e-007
32444.8897796	308.214947498	5.39877960363e-007
32384.7695391	308.787128713	3.67615517074e-007
32324.6492986	309.361438314	2.49768905457e-007
32264.5290581	309.937888199	1.69328147165e-007
32204.4088176	310.516490355	1.14542363598e-007
32144.2885772	311.097256858	7.73124208478e-008
32084.1683367	311.680199875	5.20689115709e-008
32024.0480962	312.265331665	3.49907917266e-008
31963.9278557	312.852664577	2.34625401358e-008
31903.8076152	313.442211055	1.56979240495e-008
31843.6873747	314.033983638	1.04798556286e-008
31783.5671343	314.627994956	6.98094477634e-009
31723.4468938	315.224257738	4.6400095675e-009
